Player,Pos,Team,Start,End,Yrs,Value,AAV,2-Year_Cash,3-Year_Cash
Joe Jackson,PG,PHX,2014,2014,1,507336,507336,507336,507336
Shawn Jones,PF,MIA,2014,2014,1,507336,507336,507336,507336
Jabari Brown,SG,LAL,2014,2014,1,507336,507336,507336,507336
Keith Appling,PG,LAL,2014,2014,1,507336,507336,507336,507336
Andre Dawkins,SG,MIA,2014,2014,1,507336,507336,507336,507336
Roscoe Smith,SF,LAL,2014,2014,1,507336,507336,507336,507336
Justin Cobbs,PG,CHA,2014,2014,1,507336,507336,507336,507336
Dallas Lauderdale,PF,CHA,2014,2014,1,507336,507336,507336,507336
Brian Qvale,C,CHA,2014,2014,1,507336,507336,507336,507336
Orlando Sanchez,PF,NYK,2014,2014,1,507336,507336,507336,507336
Kalin Lucas,PG,MEM,2014,2014,1,507336,507336,507336,507336
Glenn Robinson III,SF,MIN,2014,2014,1,507336,507336,507336,507336
Casey Prather,SF,PHX,2014,2014,1,507336,507336,507336,507336
Patrick Christopher,SG,MEM,2014,2014,1,507336,507336,507336,507336
Travis Wear,SF,NYK,2014,2014,1,507336,507336,507336,507336
Langston Galloway,SG,NYK,2014,2014,1,507336,507336,507336,507336
Elijah Millsap,SG,MIL,2014,2014,1,507336,507336,507336,507336
Brady Heslip,PG,MIN,2014,2014,1,507336,507336,507336,507336
Trey Johnson,SF,SAC,2014,2014,1,507336,507336,507336,507336
David Wear,PF,SAC,2014,2014,1,507336,507336,507336,507336
Mitchell Watt,SF,GSW,2014,2014,1,507336,507336,507336,507336
Aaron Craft,PG,GSW,2014,2014,1,507336,507336,507336,507336
James McAdoo,SF,GSW,2014,2014,1,507336,507336,507336,507336
Luke Hancock,SF,MEM,2014,2014,1,507336,507336,507336,507336
C.J. Fair,SF,IND,2014,2014,1,507336,507336,507336,507336
Brock Motum,PF,UTA,2014,2014,1,507336,507336,507336,507336
Tim Frazier,PG,BOS,2014,2014,1,507336,507336,507336,507336
Christian Watford,PF,BOS,2014,2014,1,507336,507336,507336,507336
Sim Bhullar,C,SAC,2014,2014,1,507336,507336,507336,507336
Deonte Burton,PG,SAC,2014,2014,1,507336,507336,507336,507336
Pierre Jackson,PG,PHI,2014,2014,1,507336,507336,400000,400000
Shayne Whittington,PF,IND,2014,2014,1,507336,507336,507336,507336
Kalin Lucas,PG,MEM,2014,2014,1,486446,486446,486446,486446
Amar'e Stoudemire,PF,DAL,2014,2014,1,485670,485670,485670,485670
Drew Gordon,PF,PHI,2014,2014,1,468540,468540,468540,468540
Kalin Lucas,PG,MEM,2014,2014,1,441681,441681,441681,441681
Kendrick Perkins,C,CLE,2014,2014,1,434547,434547,434547,434547
Lance Thomas,SF,NYK,2014,2014,1,423885,423885,423885,423885
Ronald Roberts,SF,PHI,2014,2014,1,373041,373041,373041,373041
John Lucas III,PG,DET,2014,2014,1,336966,336966,336966,336966
Earl Barron,PF,PHX,2014,2014,1,262057,262057,262057,262057
Bernard James,C,DAL,2014,2014,1,236886,236886,236886,236886
Michael Beasley,SF,MIA,2014,2014,1,195440,195440,1466404,1466404
Dahntay Jones,SF,LAC,2014,2014,10,85205,8521,85205,85205
Kenyon Martin,PF,MIL,2014,2014,10,85205,8521,85205,85205
Dahntay Jones,SF,LAC,2014,2014,10,85205,8521,85205,85205
Kenyon Martin,PF,MIL,2014,2014,10,85205,8521,85205,85205
Nate Robinson,PG,LAC,2014,2014,10,77459,7746,77459,77459
Nate Robinson,PG,LAC,2014,2014,10,77459,7746,77459,77459
Earl Barron,PF,PHX,2014,2014,10,77076,7708,77076,77076
Earl Barron,PF,PHX,2014,2014,10,77076,7708,77076,77076
Louis Amundson,PF,NYK,2014,2014,10,77076,7708,77076,77076
Louis Amundson,PF,NYK,2014,2014,10,77076,7708,77076,77076
Will Bynum,PG,WAS,2014,2014,10,74763,7476,74763,74763
Will Bynum,PG,WAS,2014,2014,1,72234,72234,72234,72234
Michael Beasley,SF,MIA,2014,2014,10,67393,6739,67393,67393
Michael Beasley,SF,MIA,2014,2014,10,67393,6739,67393,67393
John Lucas III,PG,DET,2014,2014,10,67393,6739,67393,67393
John Lucas III,PG,DET,2014,2014,10,67393,6739,67393,67393
Tyrus Thomas,PF,MEM,2014,2014,10,67393,6739,67393,67393
A.J. Price,PG,PHX,2014,2014,10,62552,6255,62552,62552
Austin Daye,PF,ATL,2014,2014,10,62552,6255,62552,62552
Toney Douglas,SG,NOP,2014,2014,10,62552,6255,62552,62552
Reggie Williams,SF,SAS,2014,2014,10,62552,6255,62552,62552
Toney Douglas,SG,NOP,2014,2014,10,62552,6255,62552,62552
Reggie Williams,SF,SAS,2014,2014,10,62552,6255,62552,62552
Dwight Buycks,PG,LAL,2014,2014,10,62437,6244,62437,62437
Earl Clark,SF,BKN,2014,2014,10,59731,5973,59731,59731
Lester Hudson,PG,LAC,2014,2014,10,57726,5773,57726,57726
Elliot Williams,SG,NOP,2014,2014,10,57711,5771,57711,57711
Elliot Williams,SG,NOP,2014,2014,10,57711,5771,57711,57711
Henry Walker,PG,MIA,2014,2014,10,57711,5771,57711,57711
Henry Walker,PG,MIA,2014,2014,10,57711,5771,57711,57711
Elliot Williams,SG,CHA,2014,2014,10,57711,5771,57711,57711
Elliot Williams,SG,UTA,2014,2014,10,57711,5771,57711,57711
Elliot Williams,SG,UTA,2014,2014,10,57711,5771,57711,57711
Jordan Hamilton,SF,LAC,2014,2014,10,55774,5577,55774,55774
Jordan Hamilton,SF,LAC,2014,2014,10,55774,5577,55774,55774
Lance Thomas,SF,NYK,2014,2014,10,55774,5577,55774,55774
Lance Thomas,SF,NYK,2014,2014,10,55774,5577,55774,55774
Jerel McNeal,PG,PHX,2014,2014,10,53838,5384,53838,53838
Christapher Johnson,SF,MIL,2014,2014,10,53838,5384,53838,53838
Christapher Johnson,SF,MIL,2014,2014,10,53838,5384,53838,53838
Quincy Miller,SF,DET,2014,2014,10,53838,5384,53838,53838
Quincy Miller,SF,DET,2014,2014,10,53838,5384,53838,53838
Bernard James,C,DAL,2014,2014,10,53838,5384,53838,53838
Bernard James,C,DAL,2014,2014,10,53838,5384,53838,53838
Quincy Miller,SF,SAC,2014,2014,10,53838,5384,53838,53838
Christapher Johnson,SF,UTA,2014,2014,10,53838,5384,53838,53838
Quincy Miller,SF,SAC,2014,2014,10,53838,5384,53838,53838
Ricky Ledo,SG,NYK,2014,2014,10,48028,4803,48028,48028
Toure Murry,SF,WAS,2014,2014,10,48028,4803,48028,48028
Ricky Ledo,SG,NYK,2014,2014,10,48028,4803,48028,48028
Toure Murry,SF,WAS,2014,2014,10,48028,4803,48028,48028
Seth Curry,SG,PHX,2014,2014,10,48028,4803,48028,48028
Jorge Gutierrez,PG,MIL,2014,2014,10,48028,4803,48028,48028
Lorenzo Brown,PG,MIN,2014,2014,10,48028,4803,48028,48028
Lorenzo Brown,PG,MIN,2014,2014,10,48028,4803,48028,48028
Jorge Gutierrez,PG,MIL,2014,2014,10,48028,4803,48028,48028
Nate Wolters,PG,NOP,2014,2014,10,48028,4803,48028,48028
Miroslav Raduljica,C,MIN,2014,2014,10,48028,4803,48028,48028
Nate Wolters,PG,NOP,2014,2014,10,48028,4803,48028,48028
Miroslav Raduljica,C,MIN,2014,2014,10,48028,4803,48028,48028
Arinze Onuaku,PF,MIN,2014,2014,1,43226,43226,43226,43226
Sim Bhullar,C,SAC,2014,2014,10,29843,2984,29843,29843
David Wear,PF,SAC,2014,2014,10,29843,2984,29843,29843
Jabari Brown,SG,LAL,2014,2014,10,29843,2984,29843,29843
Sean Kilpatrick,SG,MIN,2014,2014,10,29843,2984,29843,29843
Jack Cooley,PF,UTA,2014,2014,10,29843,2984,29843,29843
Jabari Brown,SG,LAL,2014,2014,10,29843,2984,29843,29843
Bryce Cotton,PG,UTA,2014,2014,10,29843,2984,29843,29843
Jerrelle Benimon,PF,UTA,2014,2014,10,29843,2984,29843,29843
Jarell Eddie,SF,ATL,2014,2014,10,29843,2984,29843,29843
Bryce Cotton,PG,UTA,2014,2014,10,29843,2984,29843,29843
Jack Cooley,PF,UTA,2014,2014,10,29843,2984,29843,29843
David Stockton,PG,SAC,2014,2014,10,29843,2984,29843,29843
Tim Frazier,PG,PHI,2014,2014,10,29843,2984,29843,29843
JaMychal Green,PF,MEM,2014,2014,10,29843,2984,29843,29843
Tim Frazier,PG,PHI,2014,2014,10,29843,2984,29843,29843
James McAdoo,SF,GSW,2014,2014,10,29843,2984,29843,29843
JaMychal Green,PF,MEM,2014,2014,10,29843,2984,29843,29843
Andre Dawkins,SG,BOS,2014,2014,10,29843,2984,29843,29843
Tyler Johnson,SG,MIA,2014,2014,10,29843,2984,29843,29843
Tyler Johnson,SG,MIA,2014,2014,10,29843,2984,29843,29843
Larry Drew II,PG,PHI,2014,2014,10,29843,2984,29843,29843
Andre Dawkins,SG,BOS,2014,2014,10,29843,2984,29843,29843
James McAdoo,SF,GSW,2014,2014,10,29843,2984,29843,29843
JaMychal Green,PF,SAS,2014,2014,10,29843,2984,29843,29843
Langston Galloway,SG,NYK,2014,2014,10,29843,2984,29843,29843
Larry Drew II,PG,PHI,2014,2014,10,29843,2984,29843,29843
Elijah Millsap,SG,UTA,2014,2014,10,29843,2984,29843,29843
Langston Galloway,SG,NYK,2014,2014,10,29843,2984,29843,29843
Elijah Millsap,SG,UTA,2014,2014,10,29843,2984,29843,29843
Vander Blue,SG,LAL,2014,2014,1,14409,14409,14409,14409
Marc Gasol,C,MEM,2015,2019,5,113211750,22642350,40854675,63497025
Kevin Love,C,CLE,2015,2019,5,113211750,22642350,40854675,63497025
Kawhi Leonard,SF,SAS,2015,2019,5,94343126,18868625,34045563,52914188
Kyrie Irving,PG,CLE,2015,2019,5,94343126,18868625,34045563,52914188
Jimmy Butler,SF,CHI,2015,2019,5,92339878,18467976,36863861,54410779
DeAndre Jordan,C,LAC,2015,2018,4,87616050,21904013,40854675,63497025
Goran Dragic,PG,MIA,2015,2019,5,85002250,17000450,30674725,47675175
LaMarcus Aldridge,PF,SAS,2015,2018,4,84072030,21018008,40264005,61725015
Tristan Thompson,C,CLE,2015,2019,5,82000000,16400000,29591305,45991305
Draymond Green,PF,GSW,2015,2019,5,82000000,16400000,29591305,45991305
Reggie Jackson,PG,DET,2015,2019,5,80000000,16000000,28869565,44869565
Enes Freedom,C,OKC,2015,2018,4,70060026,17515007,33553338,54120139
Wesley Matthews,SG,DAL,2015,2018,4,70060026,17515007,33553338,51437513
Brandon Knight,PG,PHX,2015,2019,5,70000000,14000000,26106250,39725000
Khris Middleton,SF,MIL,2015,2019,5,70000000,14000000,29900000,44000000
Klay Thompson,SG,GSW,2015,2018,4,68979450,17244863,32164575,49990725
Tobias Harris,PF,ORL,2015,2018,4,64000000,16000000,22564706,29073181
Brook Lopez,C,BKN,2015,2017,3,63497025,21165675,40854675,63497025
Paul Millsap,PF,ATL,2015,2017,3,60216100,20072033,38743692,60216100
DeMarre Carroll,SF,TOR,2015,2018,4,58000000,14500000,27800000,42600000
Omer Asik,C,NOP,2015,2019,5,57977525,11595505,19117977,23248428
Ricky Rubio,PG,MIN,2015,2018,4,55000000,13750000,26275000,40550000
Robin Lopez,C,NYK,2015,2018,4,54015500,13503875,13219250,27007750
Thaddeus Young,PF,BKN,2015,2018,4,54000000,13500000,25389607,40185955
Nikola Vucevic,C,ORL,2015,2018,4,53000000,13250000,23000000,35250000
Tyson Chandler,C,PHX,2015,2018,4,52000000,13000000,25415000,38415000
Greg Monroe,C,MIL,2015,2017,3,51437513,17145838,33553338,49416702
Kenneth Faried,PF,DEN,2015,2018,4,50000000,12500000,23314607,36235955
Kemba Walker,PG,CHA,2015,2018,4,48000000,12000000,24000000,36000000
LeBron James,PF,CLE,2015,2016,2,46974673,23487337,46974673,46974673
Wilson Chandler,SF,DEN,2015,2018,4,46500000,11625000,21682584,33699438
Danilo Gallinari,PF,DEN,2015,2017,3,45150000,15050000,29050000,45150000
Monta Ellis,SG,IND,2015,2018,4,43981000,10995250,21063500,32290500
Tony Parker,PG,SAS,2015,2017,3,43335939,14445313,27882813,43335939
Alec Burks,SG,UTA,2015,2018,4,42000000,10500000,19617979,30463485
Danny Green,SF,SAS,2015,2018,4,40000000,10000000,20000000,30000000
Iman Shumpert,SG,CLE,2015,2018,4,40000000,10000000,18651685,22330984
Rudy Gay,PF,SAC,2015,2017,3,40000000,13333333,25736434,40000000
Jae Crowder,SF,BOS,2015,2019,5,35000000,7000000,13082525,15501482
Kosta Koufos,C,SAC,2015,2018,4,32879000,8219750,15746500,24139500
Markieff Morris,PF,PHX,2015,2018,4,32000000,8000000,9988235,17988235
Al-Farouq Aminu,PF,POR,2015,2018,4,30000000,7500000,15723860,23042895
Anderson Varejao,PF,CLE,2015,2017,3,30000000,10000000,13479802,23479802
Cory Joseph,PG,TOR,2015,2018,4,29890000,7472500,14315000,21945000
Karl-Anthony Towns,C,MIN,2015,2018,4,25720035,6430009,11663760,17880600
Amir Johnson,C,BOS,2015,2016,2,24000000,12000000,24000000,24000000
Corey Brewer,SG,HOU,2015,2017,3,23420913,7806971,10468249,18047615
Patrick Beverley,PG,HOU,2015,2018,4,23027026,5756757,12486486,17999999
D'Angelo Russell,PG,LAL,2015,2018,4,23017978,5754495,10435920,15998280
Rodney Stuckey,PG,IND,2015,2017,3,21000000,7000000,14000000,21000000
Louis Williams,SG,LAL,2015,2017,3,21000000,7000000,9058824,16058824
Alexis Ajinca,C,NOP,2015,2018,4,20200000,5050000,9102810,14064608
Dwyane Wade,SG,MIA,2015,2015,1,20000000,20000000,20000000,20000000
Ed Davis,C,POR,2015,2017,3,20000000,6666667,13647469,20000000
Marcus Morris Sr.,SF,PHX,2015,2018,4,20000000,5000000,9625000,14625000
Zach Randolph,PF,MEM,2015,2016,2,20000000,10000000,20000000,20000000
Aron Baynes,C,DET,2015,2017,3,19500000,6500000,13000000,19500000
Marco Belinelli,SG,SAC,2015,2017,3,19000000,6333333,12393939,19000000
Kyle Singler,SF,OKC,2015,2018,4,19000000,4750000,9337500,14004000
Kristaps Porzingis,PF,NYK,2015,2018,4,18650094,4662524,8449440,12953040
Brandan Wright,PF,MEM,2015,2017,3,17129640,5709880,11173880,17129640
Kevin Garnett,PF,MIN,2015,2016,2,16500000,8250000,16500000,16500000
Kyle O'Quinn,C,ORL,2015,2018,4,16012500,4003125,7668750,11756250
Jose Barea,PG,DAL,2015,2018,4,16001700,4000425,8386950,12290850
Arron Afflalo,SG,POR,2015,2016,2,16000000,8000000,16000000,16000000
Willie Cauley-Stein,C,SAC,2015,2018,4,15350475,3837619,6949440,10653600
C.J. Watson,PG,ORL,2015,2017,3,15000000,5000000,10000000,15000000
Mike Dunleavy,SF,CHI,2015,2017,3,14512500,4837500,7203309,12378309
Jahlil Okafor,C,PHI,2015,2017,3,14366640,4788880,9371520,12899147
Emmanuel Mudiay,PG,DEN,2015,2018,4,14020000,3505000,6344040,7547618
Jameer Nelson,PG,DEN,2015,2017,3,13621575,4540525,8885525,13621575
Stanley Johnson,SF,DET,2015,2018,4,12850042,3212511,5811840,8909640
Frank Kaminsky,C,CHA,2015,2018,4,11817962,2954491,5342520,8190120
Mario Hezonja,SG,ORL,2015,2017,3,11729640,3909880,7651320,11729640
Nemanja Bjelica,PF,MIN,2015,2017,3,11700000,3900000,7750001,11700000
Justise Winslow,SF,MIA,2015,2018,4,11229126,2807282,5075160,7780200
Deron Williams,PG,BKN,2015,2016,2,11000000,5500000,11000000,11000000
Tim Duncan,PF,SAS,2015,2016,2,10850000,5425000,12393750,12393750
Myles Turner,C,IND,2015,2018,4,10801804,2700451,4821600,7391520
Will Barton,SG,DEN,2015,2017,3,10599999,3533333,7066666,10599999
Paul Pierce,SF,LAC,2015,2017,3,10583760,3527920,6903920,10583760
Trey Lyles,PF,UTA,2015,2018,4,10386049,2596512,4580400,7021800
J.R. Smith,SG,CLE,2015,2016,2,10375000,5187500,10375000,10375000
Jonas Jerebko,PF,BOS,2015,2016,2,10000000,5000000,10000000,10000000
Devin Booker,SG,PHX,2015,2018,4,9985165,2496291,4351440,6670800
Cameron Payne,PG,OKC,2015,2018,4,9600735,2400184,2630411,4833851
Rajon Rondo,PG,SAC,2015,2015,1,9500000,9500000,9500000,9500000
Kelly Oubre Jr.,SF,WAS,2015,2018,4,9228550,2307138,3926880,6019920
Tibor Pleiss,C,UTA,2015,2017,3,9000000,3000000,5900000,9000000
Derrick Williams,PF,NYK,2015,2016,2,8998000,4499000,8998000,8998000
Dante Cunningham,PF,NOP,2015,2017,3,8934750,2978250,5828250,8934750
Terry Rozier,PG,BOS,2015,2018,4,8769710,2192428,3730800,5719320
Rashad Vaughn,SG,MIL,2015,2017,4,8334685,2083671,3544080,4205777
LaVoy Allen,PF,IND,2015,2016,2,8050000,4025000,8050000,12050000
Kendall Marshall,PG,PHI,2015,2018,4,8000000,2000000,4193029,6144772
Sam Dekker,SF,HOU,2015,2018,4,7921655,1980414,3366960,5161560
Jerian Grant,PG,NYK,2015,2018,4,7568554,1892139,3215400,4929240
Nick Collison,PF,OKC,2015,2016,2,7500000,3750000,7500000,7500000
Delon Wright,PG,TOR,2015,2018,4,7268738,1817185,3086640,4731840
Justin Anderson,SG,DAL,2015,2018,4,7058648,1764662,1885434,3464874
Bobby Portis,PF,CHI,2015,2018,4,6855506,1713877,2844840,4361160
Drew Gooden,PF,WAS,2015,2016,2,6847000,3423500,6847000,6847000
Rondae Hollis-Jefferson,SF,BKN,2015,2018,4,6672819,1668205,2731080,4202462
Tyus Jones,PG,MIN,2015,2018,4,6537195,1634299,2621760,4093142
K.J. McDaniels,SG,HOU,2015,2016,2,6523126,3261563,4150577,7627451
Austin Rivers,SG,LAC,2015,2016,2,6454902,3227451,6454902,6454902
Jarell Martin,PF,MEM,2015,2018,4,6404604,1601151,2517000,3988382
Brandon Bass,PF,LAL,2015,2016,2,6135000,3067500,6135000,6135000
Larry Nance Jr.,PF,LAL,2015,2018,4,6107053,1526763,2363280,2886992
Omri Casspi,SF,SAC,2015,2016,2,5800000,2900000,5800000,5800000
Darrell Arthur,PF,DEN,2015,2016,2,5754630,2877315,5754630,5754630
Manu Ginobili,SG,SAS,2015,2016,2,5754630,2877315,5754630,5754630
Bismack Biyombo,C,TOR,2015,2016,2,5754630,2877315,5754630,5754630
Sonny Weems,SG,PHX,2015,2016,2,5754630,2877315,5754630,5754630
Mirza Teletovic,PF,PHX,2015,2015,1,5500000,5500000,5500000,5500000
Richaun Holmes,C,PHI,2015,2018,4,5171902,1292976,2100000,3571382
Joel Anthony,C,DET,2015,2016,2,5000000,2500000,5000000,5000000
T.J. McConnell,PG,PHI,2015,2018,4,4471631,1117908,1399729,2871111
Jeremy Lin,PG,CHA,2015,2016,2,4374255,2187128,4374255,4374255
Jason Smith,PF,ORL,2015,2015,1,4300000,4300000,4300000,4300000
Joe Ingles,SF,UTA,2015,2016,2,4300000,2150000,4300000,4300000
Mo Williams,PG,CLE,2015,2016,2,4294500,2147250,4294500,4294500
Nikola Jokic,C,DEN,2015,2017,3,4075500,1358500,2658500,4129882
Jordan Hill,C,IND,2015,2015,1,4000000,4000000,4000000,4000000
Alan Anderson,SG,WAS,2015,2015,1,4000000,4000000,4000000,4000000
Chris McCullough,PF,BKN,2015,2017,3,3803102,1267701,1541915,3013297
Jordan Mickey,PF,BOS,2015,2017,3,3670959,1223653,2394613,3865995
Josh Huestis,SF,OKC,2015,2017,3,3574560,1191520,2331720,3803102
Kevon Looney,C,GSW,2015,2017,3,3548640,1182880,2314800,3786182
Joseph Young,PG,IND,2015,2017,3,3530750,1176917,2059368,3530750
Scottie Wilbekin,PG,PHI,2015,2018,4,3502513,875628,1399729,2414475
Glenn Robinson III,SF,IND,2015,2017,3,3241000,1080333,2150500,3674805
John Jenkins,SG,DAL,2015,2017,3,3211301,1070434,2032309,3211301
Rakeem Christmas,PF,IND,2015,2017,3,3157026,1052342,2059368,3530750
Montrezl Harrell,C,HOU,2015,2017,3,3135000,1045000,2045000,3516382
Wayne Ellington,SG,BKN,2015,2016,2,3067500,1533750,3067500,3067500
David West,PF,SAS,2015,2016,2,3050846,1525423,3050846,3050846
Caron Butler,SF,SAC,2015,2016,2,3050846,1525423,3050846,3050846
Norris Cole,PG,NOP,2015,2015,1,3036927,3036927,3036927,3036927
Walter Tavares,C,ATL,2015,2017,3,3014746,1004915,2000000,3014746
Shane Larkin,PG,BKN,2015,2016,2,3000000,1500000,3000000,3000000
Andrea Bargnani,C,BKN,2015,2016,2,2914556,1457278,2914556,2914556
Luis Scola,PF,TOR,2015,2015,1,2900000,2900000,2900000,2900000
Kevin Seraphin,PF,NYK,2015,2015,1,2814000,2814000,2814000,2814000
Raul Neto,PG,UTA,2015,2017,3,2732546,910849,1837800,3309182
Alonzo Gee,SF,NOP,2015,2016,2,2699400,1349700,2699400,2699400
Pierre Jackson,PG,PHI,2015,2017,3,2639382,879794,1624636,2639382
Sasha Kaun,C,CLE,2015,2016,2,2609420,1304710,2609420,2609420
Anthony Brown,SF,LAL,2015,2017,3,2589382,863127,1574636,2589382
Norman Powell,SG,TOR,2015,2017,3,2539382,846461,1524636,2996018
Pat Connaughton,SG,POR,2015,2017,3,2514475,838158,1499729,2971111
Leandro Barbosa,SG,GSW,2015,2015,1,2500000,2500000,2500000,2500000
Darrun Hilliard II,SG,DET,2015,2017,3,2489382,829794,1474636,2946018
Toney Douglas,SG,NOP,2015,2016,2,2480306,1240153,2480306,2480306
Maurice N'dour,PF,DAL,2015,2017,3,2414476,804825,1399730,2414476
Christian Wood,C,PHI,2015,2017,3,2414475,804825,1399729,2414475
Salah Mejri,C,DAL,2015,2017,3,2414475,804825,1399729,2871111
Brandon Ashley,PF,DAL,2015,2017,3,2414475,804825,1399729,2414475
Jamil Wilson,SF,DAL,2015,2017,3,2414475,804825,1399729,2414475
Jarrid Famous,C,DAL,2015,2017,3,2414475,804825,1399729,2414475
Luis Montero,SG,POR,2015,2017,3,2414475,804825,1399729,2414475
Josh Richardson,SG,MIA,2015,2017,3,2414475,804825,1399729,2871111
R.J. Hunter,SG,BOS,2015,2016,2,2348880,1174440,2348880,3600840
Jeremy Evans,SF,DAL,2015,2016,2,2327888,1163944,2327888,2327888
Luke Babbitt,SF,NOP,2015,2016,2,2327888,1163944,2327888,2327888
Cole Aldrich,C,LAC,2015,2016,2,2327888,1163944,2327888,2327888
Wesley Johnson,SF,LAC,2015,2016,2,2327888,1163944,2327888,2327888
Sean Kilpatrick,SG,BKN,2015,2017,3,2252852,750951,1201607,2725912
Aaron Brooks,PG,CHI,2015,2015,1,2250000,2250000,2250000,2250000
James Anderson,SG,SAC,2015,2016,2,2154544,1077272,2154544,2154544
Gary Neal,PG,WAS,2015,2015,1,2139000,2139000,2139000,2139000
David Lee,PF,DAL,2015,2015,1,2085671,2085671,2085671,2085671
Bryce Dejean-Jones,PG,NOP,2015,2017,3,2059265,686422,1044519,2059265
Quincy Acy,PF,SAC,2015,2016,2,2032309,1016155,2032309,2032309
Thomas Robinson,PF,BKN,2015,2016,2,2032309,1016155,2032309,2032309
Jeff Withey,C,UTA,2015,2016,2,1962972,981486,1962972,1962972
Seth Curry,SG,SAC,2015,2016,2,1962972,981486,1962972,1962972
Justin Holiday,SG,ATL,2015,2016,2,1962972,981486,1322168,1322168
Briante Weber,PG,MIA,2015,2017,2,1901737,950869,886991,1901737
Sean Kilpatrick,SG,NOP,2015,2016,2,1825490,912745,1825490,1825490
Adonis Thomas,SF,DET,2015,2016,2,1825490,912745,1825490,1825490
Shayne Whittington,PF,IND,2015,2016,2,1825490,912745,1825490,1825490
Kostas Papanikolaou,SF,DEN,2015,2016,2,1780752,890376,1780752,1780752
Michael Beasley,SF,HOU,2015,2016,2,1710138,855069,1710138,1710138
Lance Thomas,SF,NYK,2015,2015,1,1636842,1636842,1636842,1636842
Louis Amundson,PF,NYK,2015,2015,1,1635476,1635476,1635476,1635476
Dahntay Jones,SF,CLE,2015,2016,2,1560478,780239,1560478,1560478
Jarell Eddie,SF,WAS,2015,2016,2,1542147,771074,1542147,1542147
Andre Miller,PG,MIN,2015,2015,1,1499187,1499187,1499187,1499187
Nate Robinson,PG,NOP,2015,2015,1,1499187,1499187,1499187,1499187
Mike Miller,SG,DEN,2015,2015,1,1499187,1499187,1499187,1499187
Rasual Butler,SF,SAS,2015,2015,1,1499187,1499187,1499187,1499187
Ben Gordon,SG,GSW,2015,2015,1,1499187,1499187,1499187,1499187
Metta World Peace,SF,LAL,2015,2015,1,1499187,1499187,1499187,1499187
Dahntay Jones,SF,BKN,2015,2015,1,1499187,1499187,1499187,1499187
Jason Terry,SG,HOU,2015,2015,1,1499187,1499187,1499187,1499187
Jason Richardson,SG,ATL,2015,2015,1,1499187,1499187,1499187,1499187
Tayshaun Prince,SF,MIN,2015,2015,1,1499187,1499187,1499187,1499187
Richard Jefferson,SF,CLE,2015,2015,1,1499187,1499187,1499187,1499187
Chuck Hayes,PF,LAC,2015,2015,1,1499187,1499187,1499187,1499187
Kendrick Perkins,C,NOP,2015,2015,1,1499187,1499187,1499187,1499187
Samuel Dalembert,C,DAL,2015,2015,1,1499187,1499187,1499187,1499187
Charlie Villanueva,PF,DAL,2015,2015,1,1499187,1499187,1499187,1499187
James Jones,SG,CLE,2015,2015,1,1499187,1499187,1499187,1499187
Ronnie Price,PG,PHX,2015,2015,1,1499187,1499187,1499187,1499187
Josh Smith,SF,LAC,2015,2015,1,1499187,1499187,723137,723137
Matt Bonner,C,SAS,2015,2015,1,1499187,1499187,1499187,1499187
Amar'e Stoudemire,PF,MIA,2015,2015,1,1499187,1499187,1499187,1499187
Chuck Hayes,PF,HOU,2015,2015,1,1446275,1446275,1446275,1446275
Michael Frazier,SG,LAL,2015,2016,2,1399729,699865,1399729,1399729
Jonathan Holmes,PF,LAL,2015,2016,2,1399729,699865,1399729,1399729
Thanasis Antetokounmpo,SF,NYK,2015,2016,2,1399729,699865,1399729,1399729
Corey Walden,SG,BOS,2015,2016,2,1399729,699865,1399729,1399729
Cliff Alexander,PF,POR,2015,2016,2,1399729,699865,1399729,1399729
Terran Petteway,SF,ATL,2015,2016,2,1399729,699865,1399729,1399729
Lamar Patterson,SG,ATL,2015,2016,2,1399729,699865,1399729,1399729
Duje Dukan,PF,SAC,2015,2016,2,1399729,699865,1399729,1399729
Aaron Harrison,SG,CHA,2015,2016,2,1399729,699865,1399729,1399729
Cristiano Felicio,PF,CHI,2015,2016,2,1399729,699865,1399729,1399729
Ronald Roberts,SF,TOR,2015,2016,2,1399729,699865,1399729,1399729
Robert Upshaw,C,LAL,2015,2016,2,1399729,699865,1399729,1399729
Jonathon Simmons,SF,SAS,2015,2016,2,1399729,699865,1399729,1399729
Ryan Boatright,PG,BKN,2015,2016,2,1399729,699865,1399729,1399729
Brandon Dawson,SF,LAC,2015,2016,2,1399729,699865,1399729,1399729
Damien Wilkins,SG,CHA,2015,2015,1,1362897,1362897,1362897,1362897
Ryan Hollins,C,MEM,2015,2015,1,1362897,1362897,1362897,1362897
Earl Barron,PF,ATL,2015,2015,1,1362897,1362897,1362897,1362897
John Lucas III,PG,MIA,2015,2015,1,1356146,1356146,1356146,1356146
Josh Powell,PF,MIL,2015,2015,1,1356146,1356146,1356146,1356146
Sasha Vujacic,SG,NYK,2015,2015,1,1356146,1356146,1356146,1356146
Gerald Green,SG,MIA,2015,2015,1,1356146,1356146,1356146,1356146
Luc Richard Mbah a Moute,PF,LAC,2015,2015,1,1270964,1270964,1270964,1270964
JaVale McGee,C,DAL,2015,2015,1,1270964,1270964,2674575,2674575
Greg Smith,C,MIN,2015,2016,2,1270530,635265,1270530,1270530
JaKarr Sampson,SF,DEN,2015,2016,2,1238920,619460,1238920,1238920
